Id;Titulo;Isbn;Autor;Assunto;Valor;
582;Timbre;85-7480-242-5;Virgílio Maia;Literatura brasileira, Poesia;R$ 40,00;
583;Toda a Cidade de São Francisco do Pará;978-6555-800-142;Gustavo Piqueira;Arte, Comunicação, História;R$ 35,00;
584;Todos Entoam - Ensaios, Conversas e Lembranças;978-85-7480-689-1;Luiz Tatit;Música, Biografia;R$ 73,00;
585;Together 1996;85-85851-29-5;Régis Bonvicino;Literatura brasileira, Poesia;R$ 28,00;
586;Tolerância e o Intempestivo, A;85-7480-293-X;Edson Passetti;Política, Sociologia e Sociedade, Religião, Filosofia;R$ 59,00;
587;Tragédia Grega - O Mito em Cena;85-7480-187-9;Daisi Malhadas;Mitologia, Teatro;R$ 41,00;
588;Trajetória de Paulo Emilio;978-85-7480-654-9;Adilson Mendes;Cinema, Cultura;R$ 58,00;
589;Trajetória em Noite Escura;978-85-7480-562-7;Naoya Shiga;Romance, Literatura estrangeira, Tradução;R$ 65,00;
590;Transliteração do Hebraico para Leitores Brasileiros;978-85-7480-646-4;Saul Kirschbaum;Tradução, Judaísmo, Editoração, Hebraico;R$ 20,00;
591;Transmutação Metalinguística na Poética de Edgard Braga, A;978-85-7480-634-1;Beatriz Helena Ramos Amaral;Literatura brasileira, Crítica literária, Poesia;R$ 56,00;
592;Transverso;978-85-7480-741-6;Marcos Pamplona;Poesia;R$ 44,90;
593;Travessias - D. João VI e o Mundo Lusófono;978-85-7480-665-5;Paulo Motta Oliveira;Crítica literária, Literatura portuguesa, História;R$ 69,00;
594;Trágica História do Dr. Fausto, A;978-85-7480-815-4;Luís Bueno, Christopher Marlowe;Bilíngue, Tradução, Teatro, Literatura clássica;R$ 128,00;
595;Três Vezes Machado de Assis;978-85-7480-345-6;Ubiratan Machado;Memória, Literatura brasileira, Crítica literária;R$ 34,00;
596;Tripé;85-85851-77-5;Rodrigo Lacerda;Literatura brasileira, Contos;R$ 52,00;
597;Triste Fim de Policarpo Quaresma;978-85-7480-704-1;Gustavo Martins, Lima Barreto, Ivan Teixeira;Literatura brasileira, Romance, Ilustrado;R$ 45,50;
598;Tropicália - Alegoria Alegria (5a. ed.);978-65-5580-017-3;Celso Favaretto;Música, Crítica musical;R$ 57,00;
599;TV Digital.Br: Conceitos e Estudos sobre o ISDB-Tb;978-85-7480-455-2;S. Squirra, Valdecir Becker;Comunicação, Televisão, Ilustrado;R$ 48,00;
600;Um Amor Literário;85-7480-305-7;Letícia Malard;Literatura brasileira, Romance;R$ 44,00;
601;Um Canto;85-85851-33-3;Cacá Moreira de Souza;Literatura brasileira, Poesia;R$ 57,00;
602;Um Lance de Dados - 2a. ed.;978-85-7480-767-6;Álvaro Faleiros, Stéphane Mallarmé;Poesia, Literatura estrangeira, Bilíngue, Tradução;R$ 52,00;
603;Uma Lua em Paris;85-85851-17-1;M. A. Amaral Rezende;Ilustrado, Literatura brasileira, Romance;R$ 42,00;
604;Urna, A;85-7480-019-8;David Oscar Vaz;Literatura brasileira, Contos;R$ 43,00;
605;Vanguardas: Brasil  Itália;85-7480-157-7;Lúcia Wataghin;Crítica literária, Arquitetura, Cultura;R$ 65,00;
606;Várias Histórias;978-85-7480-441-5;José de Paula Ramos Jr., Machado de Assis;Literatura brasileira, Contos, Ilustrado;R$ 44,00;
607;Vão-se os Dias e Eu Fico;978-85-7480-451-4;Edson Nery da Fonseca;Memória, Biblioteconomia, Ilustrado;R$ 47,00;
608;Velho é o Espelho;978-85-7480-372-2;Maria de Lourdes Ferreira Alves;Literatura brasileira, Poesia;R$ 46,00;
609;Velho Chico ou A Vida é Amável, O;85-85851-57-0;Dirce de Assis Cavalcanti;Memória;R$ 51,00;
610;Velhos Amigos;978-85-7480-841-3;Ecléa Bosi;Memória, Ilustrado, Literatura brasileira, Contos, Crônicas;R$ 46,00;
611;Vermelho;85-7480-039-2;Aguinaldo Gonçalves;Ilustrado, Literatura brasileira, Poesia;R$ 58,00;
612;Viagem a um Deserto Interior;978-85-7480-711-9;Leila Guenther;Literatura brasileira, Poesia, Ilustrado;R$ 52,00;
613;Viagem ao Egito, Jordânia e Israel;85-7480-241-7;Pedro Nava;Memória, Literatura brasileira, Ilustrado;R$ 32,00;
614;Viagem de Joseph Língua;978-85-7480-448-4;Pedro Américo de Farias;Literatura brasileira, Romance;R$ 27,00;
615;Viagem Magnética;978-85-7480-687-7;Décio Pignatari;Literatura brasileira, Teatro;R$ 39,00;
616;Viagens na Minha Terra;978-85-7480-592-4;Ivan Teixeira, Kaio Romero, Almeida Garrett;Romance, Literatura portuguesa, Ilustrado;R$ 47,80;
617;Vida e Morte de M. J. Gonzaga de Sá;978-85-7480-765-2;Lima Barreto, Marcos Scheffel, Kaio Romero;Ilustrado, Literatura brasileira, Romance;R$ 43,00;
618;Vida Literária no Brasil Colônia, A;978-65-5580-080-7;Ubiratan Machado;Ilustrado, Literatura brasileira, História, Estudos Literários;R$ 86,00;
619;Vidas de Dante - 2 edição;978-65-5580-075-3;Dante Alighieri, Eduardo Henrik Aubert;Biografia, História;R$ 75,00;
620;Vitrola dos Ausentes;85-7480-269-7;Paulo Ribeiro;Literatura brasileira, Romance;R$ 43,00;
621;Viva Vaia - Poesia 1949-1979;978-85-7480-688-4;Augusto de Campos;Literatura brasileira, Poesia, Poesia concreta, Ilustrado;R$ 160,00;
622;Vocabulário Português-Nheengatu - Nheengatu-Português;978-85-7480-638-9;E. Stradelli;Tradução, Dicionário, Linguística;R$ 92,00;
623;Voo Noturno das Galinhas, O;85-7480-323-5;Leila Guenther;Literatura brasileira, Contos;R$ 42,00;
624;Voz que Canta na Voz que Fala, A - Poética e Política na Trajetória de Gilberto Gil;978-85-7480-718-8;Pedro Henrique Varoni de Carvalho;Música, Crítica musical;R$ 69,00;
625;William Morris - Sobre as Artes do Livro;978-85-7480-845-1;Gustavo Piqueira, William Morris;Ilustrado, Design, Artes gráficas, Tradução, Editoração, Livros sobre livros;R$ 160,00;
626;Yaser;978-85-7480-813-0;Eda Nagayama;Ilustrado, Romance, Literatura, Bilíngue, Política;R$ 45,00;
627;Zé Ferino;85-85851-98-8;Rodrigo Penteado;Literatura brasileira, Romance, Ilustrado;R$ 34,00;
